test_title,test_description,test_category,test_difficulty,test_time_limit_minutes,question_text,question_type,question_points,choice_1,choice_1_correct,choice_2,choice_2_correct,choice_3,choice_3_correct,choice_4,choice_4_correct
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of following functions MS-Excel have 1 SUM 2 CONCATENATE?,single,1,Only 1,FALSE,Only 2,FALSE,None of 1 and 2,FALSE,Both 1 and 2,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is an example of text in a spreadsheet?,single,1,2763,FALSE,Sales 1994 1995,TRUE,#VALUE!,FALSE,=sum (A1+A2+A3),FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,You can select the current row in MS-Excel Worksheet by pressing?,single,1,Ctrl + Space bar,FALSE,F8 + arrow key,FALSE,Shift + arrow key,FALSE,Shift + Space bar,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Getting data from a cell located in a different worksheet is called?,single,1,Accessing,FALSE,Referencing,TRUE,Updating,FALSE,Functioning,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which ONE of the following is not true?,single,1,You can also create graph in excel sheets,FALSE,Excel sheets have the extension *.doc,TRUE,A new workbook is called Book 1,FALSE,You can have Word and Excel open together,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The programming language in which Excel records the macro code is?,single,1,BASIC,FALSE,Visual Basic,TRUE,Video Basic,FALSE,BASIC2,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The area is entered with in ruler bars and scroll bars called____?,single,1,Spread sheet,FALSE,Sheet,FALSE,Data Sheet,FALSE,Worksheet,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,MS-Excel is a type of?,single,1,Application Software,TRUE,System Software,FALSE,Utility Software,FALSE,System Tools,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The two orientations of worksheet page are called?,single,1,Portrait and Landscape,TRUE,Auto text and Auto correct,FALSE,Front and Footer,FALSE,Header and Footer,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Excel is used for making?,single,1,Application software,FALSE,Spreadsheet,TRUE,System Software,FALSE,None of these,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The address of last cell in MS-Excel is?,single,1,IV 16384,TRUE,ZZ 16384,FALSE,ZX 8192,FALSE,ZZ 8192,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The intersection point of row and column is called?,single,1,Pixel,FALSE,Cell,TRUE,0,FALSE,Track,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,"To add up entries from D6 to D10, we use the formula?",single,1,Add D6.. D10,FALSE,#NAME?,TRUE,Add D6 to D10,FALSE,None of these,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Certain In build functions are available in MS-Excel?,single,1,Yes,TRUE,No,FALSE,None of these,FALSE,Can’t say,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,MS-Excel is a?,single,1,Spreadsheet,TRUE,Graphical Software,FALSE,Windows,FALSE,Workbook,FALSE
