test_title,test_description,test_category,test_difficulty,test_time_limit_minutes,question_text,question_type,question_points,choice_1,choice_1_correct,choice_2,choice_2_correct,choice_3,choice_3_correct,choice_4,choice_4_correct
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,Which mathematical operation is performed by the ^ key in an Excel formula?,single,1,Multiplication,FALSE,Logical,FALSE,Factorial,FALSE,Power,TRUE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,When a formula is written in a cell. It appears in the active cell in which it is being written and in the __________________ bar as well.,single,1,Name Box,FALSE,Title bar,FALSE,Formula,TRUE,None,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,When using Excel 2007 which sign is used to create a formula or function in a cell?,single,1,Parentheses,FALSE,Double Quotes,FALSE,Equal Sign,TRUE,Single Quotes,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,The view that puts a blue line around each page that would be printed is the _____.,single,1,Normal,FALSE,Split View,FALSE,Print Preview,FALSE,Page Break Preview,TRUE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,What term describes explanatory text attached to a cell?,single,1,Comments,TRUE,Extensions,FALSE,Dialogs,FALSE,Callouts,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,. __________________ is the vertical part of the spreadsheet.,single,1,Columns,TRUE,Cell,FALSE,Row,FALSE,None,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,Which is not an advantage of using computerized spreadsheets?,single,1,Ability of generate tables,FALSE,Flexibility of moving entries,FALSE,Cost of initial setup,TRUE,Speed of calculation,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,To format a cell like an already formatted one you can use ------------------.,single,1,the Format Painter command,TRUE,the Fill down command,FALSE,None of the above.,FALSE,the Autosum command,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,On an Excel spreadsheet the active cell is indicated by,single,1,A blinking border,FALSE,A dotted border,FALSE,A dark wide border,TRUE,None of the above,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,The _________________ displays the name of the sheets in the workbook.,single,1,Menu Bar,FALSE,Sheet Tabs,TRUE,Book Tabs,FALSE,None,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,What is the short key to enter the current date in a cell?,single,1,CTRL+F10,FALSE,CTRL+SHIFT+: (colon),FALSE,CTRL+ ; (semicolon),TRUE,None of these,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,Which of the following functions is correctly written?,single,1,"=IF(B2>50000),""rich"",""poor""))",FALSE,"IF(B2>50000,rich,poor)",FALSE,rich,TRUE,"=IF(B2>50000.""rich"",""poor"")",FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,After writing the formula you have to press _____________________ key from the keyboard to see the answer.,single,1,Ctrl-Enter,FALSE,Enter,FALSE,Any of the above,TRUE,Shift-Enter,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,You can display all formulas in an active worksheet by pressing the _____ keys,single,1,Alt+~,FALSE,Ctrl+,FALSE,Ctrl+~,TRUE,Ctrl+W,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,You can use a spreadsheets package like the Microsoft Excel To ________ ,single,1,Create charts,FALSE,Design spreadsheets models,FALSE,Perform mathematical operations,FALSE,All of the above,TRUE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,"To select several cells or ranges that are not touching each other, you would _____ while selecting",single,1,Hold down the ALT key,FALSE,Hold down the SHIFT key,FALSE,Hold down the CTRL key,TRUE,None,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,"Which of the Excel 2007 ribbon tab allow you to check spelling, add a comment, or protect your workbook?",single,1,Review,TRUE,Preview,FALSE,Data,FALSE,Home,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,What does the LEN() function do?,single,1,Deletes Trailing spaces,FALSE,All of the choices,FALSE,Splits the Cell contents,FALSE,Counts the number of characters in a cell,TRUE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,Which of the following methods allows you to insert an Adobe Photoshop Image into your Excel spreadsheet?,single,1,Go to the insert tab on the ribbon and select object. Choose Adobe Photoshop Image from the box and select Ok,TRUE,Simply drag and drop your Adobe Photoshop image file directly onto the worksheet you want to add it to,FALSE,Microsoft Office is not compatible with Adobe products,FALSE,"Select Open from the Office Button. Browse to your image file, select the checkbox labeled Insert into current document and hit open",FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,An Excel spreadsheet is also called a _______________________ ,single,1,Document,FALSE,Workbook,TRUE,Worksheet,FALSE,None,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,Two common wildcard characters that Excel recognizes are,single,1,* and ?,TRUE,* and /,FALSE,< and >,FALSE,+ and -,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,You can print,single,1,A range of cells by range name,FALSE,An entire workbook,FALSE,A single worksheet,FALSE,All of the above,TRUE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,A user wishes to remove a worksheet from a workbook. Which is the correct sequence of events that will do this?,single,1,Go to file - save as - save as type - excel 4.0 worksheet,FALSE,Right click on the worksheet and select insert - entire column,FALSE,Right click on the worksheet tab and select delete,TRUE,None,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,What function offers you the possibility to view different results depending on the entered condition?,single,1,=SumIf(),FALSE,=If(),TRUE,=Sum(),FALSE,None,FALSE
Basic Excel Test,Basics of Excel operations,Excel,beginner,30,###### means:,single,1,You've entered a number wrong,FALSE,You've misspelled something,FALSE,The cell is not wide enough,TRUE,None,FALSE
